transaction_narration,label
Ola cab booking Ref000043 Amt44696 INR,travel
PPF account contribution Ref000044 Amt4263 INR,investment
Crypto investment transfer Ref000045 Amt39152 INR,investment
PPF account contribution Ref000046 Amt16576 INR,investment
Amazon online shopping Ref000047 Amt44683 INR,shopping
Bakery item purchase Ref000048 Amt49309 INR,food
Home loan EMI deduction Ref000049 Amt7410 INR,emi
Bike loan installment Ref000050 Amt10465 INR,emi
Mutual fund SIP investment Ref000051 Amt47423 INR,investment
Personal loan EMI Ref000052 Amt11808 INR,emi
Amazon online shopping Ref000053 Amt41079 INR,shopping
Personal loan EMI Ref000054 Amt40009 INR,emi
Ola cab booking Ref000055 Amt24604 INR,travel
Hotel stay payment Ref000056 Amt34857 INR,travel
Bakery item purchase Ref000057 Amt21343 INR,food
Mutual fund SIP investment Ref000058 Amt7431 INR,investment
Home loan EMI deduction Ref000059 Amt15792 INR,emi
Swiggy food delivery Ref000060 Amt37282 INR,food
Zomato order payment Ref000061 Amt48066 INR,food
Mutual fund SIP investment Ref000062 Amt49946 INR,investment
Flipkart purchase Ref000063 Amt8514 INR,shopping
PPF account contribution Ref000064 Amt10921 INR,investment
Personal loan EMI Ref000065 Amt39853 INR,emi
Stock market purchase Ref000066 Amt35443 INR,investment
Train ticket booking IRCTC Ref000067 Amt26248 INR,travel
Bike loan installment Ref000068 Amt34019 INR,emi
Mutual fund SIP investment Ref000069 Amt16346 INR,investment
Uber ride payment Ref000070 Amt22256 INR,travel
Bakery item purchase Ref000071 Amt36401 INR,food
Hotel stay payment Ref000072 Amt14532 INR,travel
Zomato order payment Ref000073 Amt46489 INR,food
Swiggy food delivery Ref000074 Amt4517 INR,food
Restaurant bill payment Ref000075 Amt4743 INR,food
Flipkart purchase Ref000076 Amt18350 INR,shopping
Stock market purchase Ref000077 Amt35439 INR,investment
Hotel stay payment Ref000078 Amt37862 INR,travel
Stock market purchase Ref000079 Amt31096 INR,investment
Stock market purchase Ref000080 Amt6281 INR,investment
Cafe coffee purchase Ref000081 Amt23319 INR,food
Crypto investment transfer Ref000082 Amt30706 INR,investment
Zomato order payment Ref000083 Amt4072 INR,food
Demat account funding Ref000084 Amt7261 INR,investment
Ola cab booking Ref000085 Amt12565 INR,travel
Electronics store payment Ref000086 Amt9286 INR,shopping
Stock market purchase Ref000087 Amt18354 INR,investment
Stock market purchase Ref000088 Amt5040 INR,investment
PPF account contribution Ref000089 Amt6516 INR,investment
Bakery item purchase Ref000090 Amt1067 INR,food
Swiggy food delivery Ref000091 Amt10999 INR,food
Crypto investment transfer Ref000092 Amt31646 INR,investment
Flight ticket purchase Ref000093 Amt3942 INR,travel
Flight ticket purchase Ref000094 Amt241 INR,travel
Demat account funding Ref000095 Amt29919 INR,investment
Bike loan installment Ref000096 Amt45751 INR,emi
Electronics store payment Ref000097 Amt10244 INR,shopping
Train ticket booking IRCTC Ref000098 Amt14367 INR,travel
Bakery item purchase Ref000099 Amt48317 INR,food
Amazon online shopping Ref000100 Amt49119 INR,shopping
Loan EMI auto debit Ref000101 Amt3386 INR,emi
Electronics store payment Ref000102 Amt33054 INR,shopping
Flipkart purchase Ref000103 Amt3827 INR,shopping
Amazon online shopping Ref000104 Amt12278 INR,shopping
Bakery item purchase Ref000105 Amt4553 INR,food
Flight ticket purchase Ref000106 Amt7956 INR,travel
Flipkart purchase Ref000107 Amt38040 INR,shopping
Amazon online shopping Ref000108 Amt40691 INR,shopping
Cafe coffee purchase Ref000109 Amt43181 INR,food
Supermarket shopping bill Ref000110 Amt34361 INR,shopping
Home loan EMI deduction Ref000111 Amt13486 INR,emi
Credit card EMI payment Ref000112 Amt17507 INR,emi
Stock market purchase Ref000113 Amt44119 INR,investment
Bike loan installment Ref000114 Amt20820 INR,emi
Zomato order payment Ref000115 Amt30134 INR,food
Supermarket shopping bill Ref000116 Amt6652 INR,shopping
Bakery item purchase Ref000117 Amt14069 INR,food
Clothing store purchase Ref000118 Amt8780 INR,shopping
Loan EMI auto debit Ref000119 Amt16109 INR,emi
Home loan EMI deduction Ref000120 Amt10438 INR,emi
PPF account contribution Ref000121 Amt46207 INR,investment
Personal loan EMI Ref000122 Amt42958 INR,emi
Amazon online shopping Ref000123 Amt43869 INR,shopping
Clothing store purchase Ref000124 Amt43575 INR,shopping
Swiggy food delivery Ref000125 Amt17432 INR,food
Zomato order payment Ref000126 Amt48755 INR,food
Flipkart purchase Ref000127 Amt17948 INR,shopping
Personal loan EMI Ref000128 Amt13903 INR,emi
Credit card EMI payment Ref000129 Amt45155 INR,emi
Personal loan EMI Ref000130 Amt32116 INR,emi
Loan EMI auto debit Ref000131 Amt6148 INR,emi
Demat account funding Ref000132 Amt2989 INR,investment
Restaurant bill payment Ref000133 Amt8673 INR,food
Credit card EMI payment Ref000134 Amt48677 INR,emi
PPF account contribution Ref000135 Amt46346 INR,investment
PPF account contribution Ref000136 Amt733 INR,investment
Zomato order payment Ref000137 Amt45386 INR,food
Hotel stay payment Ref000138 Amt2461 INR,travel
Personal loan EMI Ref000139 Amt36310 INR,emi
Flight ticket purchase Ref000140 Amt8452 INR,travel
Restaurant bill payment Ref000141 Amt23997 INR,food
Restaurant bill payment Ref000142 Amt13867 INR,food
Uber ride payment Ref000143 Amt23278 INR,travel
Electronics store payment Ref000144 Amt40775 INR,shopping
Ola cab booking Ref000145 Amt10749 INR,travel
Flight ticket purchase Ref000146 Amt1724 INR,travel
Train ticket booking IRCTC Ref000147 Amt27082 INR,travel
Train ticket booking IRCTC Ref000148 Amt10533 INR,travel
Cafe coffee purchase Ref000149 Amt2637 INR,food
Stock market purchase Ref000150 Amt13179 INR,investment
Demat account funding Ref000151 Amt20100 INR,investment
Ola cab booking Ref000152 Amt1650 INR,travel
Flight ticket purchase Ref000153 Amt21612 INR,travel
Loan EMI auto debit Ref000154 Amt18392 INR,emi
Personal loan EMI Ref000155 Amt26293 INR,emi
Clothing store purchase Ref000156 Amt1908 INR,shopping
Restaurant bill payment Ref000157 Amt11802 INR,food
Clothing store purchase Ref000158 Amt2607 INR,shopping
Bakery item purchase Ref000159 Amt28579 INR,food
Home loan EMI deduction Ref000160 Amt28699 INR,emi
Supermarket shopping bill Ref000161 Amt7678 INR,shopping
PPF account contribution Ref000162 Amt12557 INR,investment
Loan EMI auto debit Ref000163 Amt46550 INR,emi
Mutual fund SIP investment Ref000164 Amt34173 INR,investment
Flipkart purchase Ref000165 Amt23969 INR,shopping
Mutual fund SIP investment Ref000166 Amt43631 INR,investment
Personal loan EMI Ref000167 Amt20672 INR,emi
Restaurant bill payment Ref000168 Amt33334 INR,food
Bike loan installment Ref000169 Amt21476 INR,emi
Demat account funding Ref000170 Amt36433 INR,investment
Ola cab booking Ref000171 Amt27654 INR,travel
Stock market purchase Ref000172 Amt40438 INR,investment
Clothing store purchase Ref000173 Amt26712 INR,shopping
Amazon online shopping Ref000174 Amt20014 INR,shopping
Credit card EMI payment Ref000175 Amt28273 INR,emi
Supermarket shopping bill Ref000176 Amt43006 INR,shopping
Bike loan installment Ref000177 Amt29052 INR,emi
Stock market purchase Ref000178 Amt33600 INR,investment
Stock market purchase Ref000179 Amt43278 INR,investment
Restaurant bill payment Ref000180 Amt33880 INR,food
Clothing store purchase Ref000181 Amt6220 INR,shopping
Train ticket booking IRCTC Ref000182 Amt14822 INR,travel
Ola cab booking Ref000183 Amt1700 INR,travel
Swiggy food delivery Ref000184 Amt31238 INR,food
Amazon online shopping Ref000185 Amt29946 INR,shopping
PPF account contribution Ref000186 Amt12842 INR,investment
Crypto investment transfer Ref000187 Amt26291 INR,investment
Ola cab booking Ref000188 Amt43095 INR,travel
Zomato order payment Ref000189 Amt27962 INR,food
Ola cab booking Ref000190 Amt45707 INR,travel
Electronics store payment Ref000191 Amt3391 INR,shopping
Flipkart purchase Ref000192 Amt8053 INR,shopping
Stock market purchase Ref000193 Amt30550 INR,investment
Supermarket shopping bill Ref000194 Amt39123 INR,shopping
Bike loan installment Ref000195 Amt40250 INR,emi
Electronics store payment Ref000196 Amt36005 INR,shopping
Stock market purchase Ref000197 Amt48836 INR,investment
Crypto investment transfer Ref000198 Amt17086 INR,investment
Train ticket booking IRCTC Ref000199 Amt34263 INR,travel
Stock market purchase Ref000200 Amt18096 INR,investment
Mutual fund SIP investment Ref000201 Amt46862 INR,investment
Credit card EMI payment Ref000202 Amt17907 INR,emi
Home loan EMI deduction Ref000203 Amt35499 INR,emi
Swiggy food delivery Ref000204 Amt9984 INR,food
Flight ticket purchase Ref000205 Amt45578 INR,travel
Ola cab booking Ref000206 Amt4309 INR,travel
Crypto investment transfer Ref000207 Amt21784 INR,investment
Electronics store payment Ref000208 Amt27348 INR,shopping
Swiggy food delivery Ref000209 Amt27634 INR,food
PPF account contribution Ref000210 Amt45681 INR,investment
Bakery item purchase Ref000211 Amt25028 INR,food
Mutual fund SIP investment Ref000212 Amt23152 INR,investment
Bike loan installment Ref000213 Amt27560 INR,emi
Supermarket shopping bill Ref000214 Amt39634 INR,shopping
Flight ticket purchase Ref000215 Amt14480 INR,travel
Bike loan installment Ref000216 Amt31927 INR,emi
Cafe coffee purchase Ref000217 Amt22128 INR,food
Stock market purchase Ref000218 Amt30730 INR,investment
Hotel stay payment Ref000219 Amt35104 INR,travel
Cafe coffee purchase Ref000220 Amt38890 INR,food
Amazon online shopping Ref000221 Amt5601 INR,shopping
Stock market purchase Ref000222 Amt30357 INR,investment
Uber ride payment Ref000223 Amt17149 INR,travel
Demat account funding Ref000224 Amt13971 INR,investment
Demat account funding Ref000225 Amt22218 INR,investment
Demat account funding Ref000226 Amt49383 INR,investment
Demat account funding Ref000227 Amt5467 INR,investment
Mutual fund SIP investment Ref000228 Amt49188 INR,investment
Amazon online shopping Ref000229 Amt23035 INR,shopping
Uber ride payment Ref000230 Amt42813 INR,travel
Zomato order payment Ref000231 Amt16305 INR,food
Uber ride payment Ref000232 Amt40819 INR,travel
Ola cab booking Ref000233 Amt8372 INR,travel
Mutual fund SIP investment Ref000234 Amt37060 INR,investment
Flight ticket purchase Ref000235 Amt45940 INR,travel
Home loan EMI deduction Ref000236 Amt11096 INR,emi
Supermarket shopping bill Ref000237 Amt49116 INR,shopping
Swiggy food delivery Ref000238 Amt20484 INR,food
Bakery item purchase Ref000239 Amt1782 INR,food
Personal loan EMI Ref000240 Amt44490 INR,emi
Crypto investment transfer Ref000241 Amt46959 INR,investment
Uber ride payment Ref000242 Amt38903 INR,travel
Uber ride payment Ref000243 Amt45791 INR,travel
Personal loan EMI Ref000244 Amt8033 INR,emi
Amazon online shopping Ref000245 Amt22854 INR,shopping
Electronics store payment Ref000246 Amt43453 INR,shopping
Loan EMI auto debit Ref000247 Amt33258 INR,emi
Loan EMI auto debit Ref000248 Amt27628 INR,emi
Mutual fund SIP investment Ref000249 Amt28511 INR,investment
Bike loan installment Ref000250 Amt46454 INR,emi
Flight ticket purchase Ref000251 Amt11643 INR,travel
Clothing store purchase Ref000252 Amt40464 INR,shopping
Electronics store payment Ref000253 Amt30565 INR,shopping
PPF account contribution Ref000254 Amt17689 INR,investment
Credit card EMI payment Ref000255 Amt5779 INR,emi
Bike loan installment Ref000256 Amt16081 INR,emi
PPF account contribution Ref000257 Amt40098 INR,investment
Demat account funding Ref000258 Amt1980 INR,investment
Demat account funding Ref000259 Amt12017 INR,investment
Stock market purchase Ref000260 Amt23353 INR,investment
Home loan EMI deduction Ref000261 Amt18427 INR,emi
Clothing store purchase Ref000262 Amt36524 INR,shopping
Bakery item purchase Ref000263 Amt12621 INR,food
Swiggy food delivery Ref000264 Amt47290 INR,food
Crypto investment transfer Ref000265 Amt36484 INR,investment
Flight ticket purchase Ref000266 Amt42429 INR,travel
Crypto investment transfer Ref000267 Amt1230 INR,investment
Restaurant bill payment Ref000268 Amt14622 INR,food
Stock market purchase Ref000269 Amt20167 INR,investment
Clothing store purchase Ref000270 Amt31115 INR,shopping
Supermarket shopping bill Ref000271 Amt22628 INR,shopping
PPF account contribution Ref000272 Amt21778 INR,investment
Bike loan installment Ref000273 Amt17854 INR,emi
Home loan EMI deduction Ref000274 Amt15208 INR,emi
Swiggy food delivery Ref000275 Amt20779 INR,food
Bakery item purchase Ref000276 Amt45330 INR,food
Ola cab booking Ref000277 Amt14280 INR,travel
Demat account funding Ref000278 Amt47586 INR,investment
Supermarket shopping bill Ref000279 Amt39211 INR,shopping
Loan EMI auto debit Ref000280 Amt12821 INR,emi
Credit card EMI payment Ref000281 Amt23750 INR,emi
Train ticket booking IRCTC Ref000282 Amt1027 INR,travel
Flipkart purchase Ref000283 Amt18077 INR,shopping
Zomato order payment Ref000284 Amt36364 INR,food
Credit card EMI payment Ref000285 Amt41903 INR,emi
Mutual fund SIP investment Ref000286 Amt903 INR,investment
Clothing store purchase Ref000287 Amt30862 INR,shopping
Crypto investment transfer Ref000288 Amt22428 INR,investment
Uber ride payment Ref000289 Amt16646 INR,travel
Mutual fund SIP investment Ref000290 Amt4382 INR,investment
Crypto investment transfer Ref000291 Amt4955 INR,investment
Amazon online shopping Ref000292 Amt10043 INR,shopping
Hotel stay payment Ref000293 Amt20012 INR,travel
Swiggy food delivery Ref000294 Amt7862 INR,food
Electronics store payment Ref000295 Amt39835 INR,shopping
Supermarket shopping bill Ref000296 Amt14890 INR,shopping
Electronics store payment Ref000297 Amt29624 INR,shopping
Demat account funding Ref000298 Amt38669 INR,investment
Demat account funding Ref000299 Amt37365 INR,investment
Amazon online shopping Ref000300 Amt40052 INR,shopping
Swiggy food delivery Ref000301 Amt41093 INR,food
Train ticket booking IRCTC Ref000302 Amt43381 INR,travel
Swiggy food delivery Ref000303 Amt15819 INR,food
Hotel stay payment Ref000304 Amt5019 INR,travel
Uber ride payment Ref000305 Amt26872 INR,travel
PPF account contribution Ref000306 Amt30896 INR,investment
Loan EMI auto debit Ref000307 Amt15270 INR,emi
Home loan EMI deduction Ref000308 Amt46170 INR,emi
Mutual fund SIP investment Ref000309 Amt45148 INR,investment
Train ticket booking IRCTC Ref000310 Amt41063 INR,travel
Flipkart purchase Ref000311 Amt27961 INR,shopping
Bakery item purchase Ref000312 Amt14833 INR,food
Train ticket booking IRCTC Ref000313 Amt9421 INR,travel
Zomato order payment Ref000314 Amt10973 INR,food
Personal loan EMI Ref000315 Amt49183 INR,emi
Clothing store purchase Ref000316 Amt28880 INR,shopping
Cafe coffee purchase Ref000317 Amt45233 INR,food
Bike loan installment Ref000318 Amt17941 INR,emi
Supermarket shopping bill Ref000319 Amt32461 INR,shopping
Mutual fund SIP investment Ref000320 Amt39292 INR,investment
Cafe coffee purchase Ref000321 Amt48238 INR,food
Personal loan EMI Ref000322 Amt16508 INR,emi
Zomato order payment Ref000323 Amt15102 INR,food
Supermarket shopping bill Ref000324 Amt1459 INR,shopping
Personal loan EMI Ref000325 Amt2736 INR,emi
Flight ticket purchase Ref000326 Amt34110 INR,travel
Demat account funding Ref000327 Amt11994 INR,investment
Electronics store payment Ref000328 Amt41701 INR,shopping
Mutual fund SIP investment Ref000329 Amt30902 INR,investment
Bike loan installment Ref000330 Amt21943 INR,emi
Loan EMI auto debit Ref000331 Amt10639 INR,emi
Bike loan installment Ref000332 Amt45560 INR,emi
Demat account funding Ref000333 Amt43523 INR,investment
PPF account contribution Ref000334 Amt2504 INR,investment
Mutual fund SIP investment Ref000335 Amt20712 INR,investment
Home loan EMI deduction Ref000336 Amt7697 INR,emi
PPF account contribution Ref000337 Amt175 INR,investment
Electronics store payment Ref000338 Amt27182 INR,shopping
Swiggy food delivery Ref000339 Amt34076 INR,food
Personal loan EMI Ref000340 Amt49674 INR,emi
Crypto investment transfer Ref000341 Amt49906 INR,investment
Swiggy food delivery Ref000342 Amt17601 INR,food
Flipkart purchase Ref000343 Amt18976 INR,shopping
Crypto investment transfer Ref000344 Amt8057 INR,investment
Bakery item purchase Ref000345 Amt15782 INR,food
Train ticket booking IRCTC Ref000346 Amt36199 INR,travel
Bakery item purchase Ref000347 Amt26838 INR,food
Swiggy food delivery Ref000348 Amt7535 INR,food
Mutual fund SIP investment Ref000349 Amt42548 INR,investment
Flight ticket purchase Ref000350 Amt47063 INR,travel
Personal loan EMI Ref000351 Amt46329 INR,emi
Bike loan installment Ref000352 Amt31721 INR,emi
Stock market purchase Ref000353 Amt30035 INR,investment
Flipkart purchase Ref000354 Amt25238 INR,shopping
Hotel stay payment Ref000355 Amt33408 INR,travel
Uber ride payment Ref000356 Amt18204 INR,travel
Demat account funding Ref000357 Amt33375 INR,investment
Loan EMI auto debit Ref000358 Amt18636 INR,emi
Personal loan EMI Ref000359 Amt38105 INR,emi
Stock market purchase Ref000360 Amt29364 INR,investment
Electronics store payment Ref000361 Amt22718 INR,shopping
Personal loan EMI Ref000362 Amt35714 INR,emi
Crypto investment transfer Ref000363 Amt21188 INR,investment
Ola cab booking Ref000364 Amt37573 INR,travel
Stock market purchase Ref000365 Amt27020 INR,investment
Restaurant bill payment Ref000366 Amt48904 INR,food
Crypto investment transfer Ref000367 Amt25402 INR,investment
Flight ticket purchase Ref000368 Amt2526 INR,travel
Hotel stay payment Ref000369 Amt38778 INR,travel
Loan EMI auto debit Ref000370 Amt28955 INR,emi
Bakery item purchase Ref000371 Amt30045 INR,food
Swiggy food delivery Ref000372 Amt26968 INR,food
Uber ride payment Ref000373 Amt30868 INR,travel
Home loan EMI deduction Ref000374 Amt40945 INR,emi
Mutual fund SIP investment Ref000375 Amt21632 INR,investment
Electronics store payment Ref000376 Amt20852 INR,shopping
PPF account contribution Ref000377 Amt2452 INR,investment
Amazon online shopping Ref000378 Amt15485 INR,shopping
Credit card EMI payment Ref000379 Amt49040 INR,emi
Cafe coffee purchase Ref000380 Amt6551 INR,food
Cafe coffee purchase Ref000381 Amt11002 INR,food
Loan EMI auto debit Ref000382 Amt3114 INR,emi
Loan EMI auto debit Ref000383 Amt19326 INR,emi
Home loan EMI deduction Ref000384 Amt28325 INR,emi
Ola cab booking Ref000385 Amt34910 INR,travel
PPF account contribution Ref000386 Amt44782 INR,investment
Ola cab booking Ref000387 Amt11573 INR,travel
Bakery item purchase Ref000388 Amt25170 INR,food
Flipkart purchase Ref000389 Amt32715 INR,shopping
Flipkart purchase Ref000390 Amt15316 INR,shopping
Demat account funding Ref000391 Amt30218 INR,investment
Loan EMI auto debit Ref000392 Amt30590 INR,emi
Personal loan EMI Ref000393 Amt10453 INR,emi
Cafe coffee purchase Ref000394 Amt22746 INR,food
Clothing store purchase Ref000395 Amt41973 INR,shopping
Demat account funding Ref000396 Amt30039 INR,investment
Credit card EMI payment Ref000397 Amt25311 INR,emi
Mutual fund SIP investment Ref000398 Amt15645 INR,investment
PPF account contribution Ref000399 Amt23624 INR,investment
Clothing store purchase Ref000400 Amt45927 INR,shopping
Loan EMI auto debit Ref000401 Amt43237 INR,emi
Demat account funding Ref000402 Amt630 INR,investment
Amazon online shopping Ref000403 Amt39841 INR,shopping
Demat account funding Ref000404 Amt15181 INR,investment
Clothing store purchase Ref000405 Amt14452 INR,shopping
Hotel stay payment Ref000406 Amt16525 INR,travel
Uber ride payment Ref000407 Amt41221 INR,travel
Restaurant bill payment Ref000408 Amt28989 INR,food
Bakery item purchase Ref000409 Amt24011 INR,food
Uber ride payment Ref000410 Amt19440 INR,travel
Bike loan installment Ref000411 Amt11610 INR,emi
Ola cab booking Ref000412 Amt35450 INR,travel
Personal loan EMI Ref000413 Amt32985 INR,emi
Credit card EMI payment Ref000414 Amt16940 INR,emi
Demat account funding Ref000415 Amt49026 INR,investment
Loan EMI auto debit Ref000416 Amt30792 INR,emi
Swiggy food delivery Ref000417 Amt49524 INR,food
Flight ticket purchase Ref000418 Amt36624 INR,travel
Loan EMI auto debit Ref000419 Amt25958 INR,emi
Restaurant bill payment Ref000420 Amt35264 INR,food
Cafe coffee purchase Ref000421 Amt24255 INR,food
Personal loan EMI Ref000422 Amt25070 INR,emi
Loan EMI auto debit Ref000423 Amt44326 INR,emi
Flight ticket purchase Ref000424 Amt1740 INR,travel
Supermarket shopping bill Ref000425 Amt21596 INR,shopping
Flipkart purchase Ref000426 Amt42544 INR,shopping
Cafe coffee purchase Ref000427 Amt46045 INR,food
Bike loan installment Ref000428 Amt7746 INR,emi
Uber ride payment Ref000429 Amt2538 INR,travel
Bike loan installment Ref000430 Amt7710 INR,emi
Swiggy food delivery Ref000431 Amt35328 INR,food
Flight ticket purchase Ref000432 Amt29829 INR,travel
Personal loan EMI Ref000433 Amt27567 INR,emi
Flipkart purchase Ref000434 Amt27289 INR,shopping
Cafe coffee purchase Ref000435 Amt40447 INR,food
Demat account funding Ref000436 Amt2244 INR,investment
Credit card EMI payment Ref000437 Amt29157 INR,emi
Stock market purchase Ref000438 Amt23868 INR,investment
Restaurant bill payment Ref000439 Amt35782 INR,food
Loan EMI auto debit Ref000440 Amt26192 INR,emi
Credit card EMI payment Ref000441 Amt8105 INR,emi
Mutual fund SIP investment Ref000442 Amt43535 INR,investment
Hotel stay payment Ref000443 Amt1499 INR,travel
Restaurant bill payment Ref000444 Amt16062 INR,food
Hotel stay payment Ref000445 Amt13548 INR,travel
Bakery item purchase Ref000446 Amt13676 INR,food
Flipkart purchase Ref000447 Amt15369 INR,shopping
Credit card EMI payment Ref000448 Amt39158 INR,emi
Restaurant bill payment Ref000449 Amt9582 INR,food
Hotel stay payment Ref000450 Amt16526 INR,travel
Uber ride payment Ref000451 Amt43423 INR,travel
Swiggy food delivery Ref000452 Amt1073 INR,food
Credit card EMI payment Ref000453 Amt38691 INR,emi
Loan EMI auto debit Ref000454 Amt11519 INR,emi
Loan EMI auto debit Ref000455 Amt8407 INR,emi
PPF account contribution Ref000456 Amt7548 INR,investment
Cafe coffee purchase Ref000457 Amt29478 INR,food
Personal loan EMI Ref000458 Amt39006 INR,emi
Cafe coffee purchase Ref000459 Amt33119 INR,food
Hotel stay payment Ref000460 Amt2941 INR,travel
Clothing store purchase Ref000461 Amt30118 INR,shopping
Zomato order payment Ref000462 Amt31490 INR,food
Crypto investment transfer Ref000463 Amt45064 INR,investment
Cafe coffee purchase Ref000464 Amt46787 INR,food
Mutual fund SIP investment Ref000465 Amt5394 INR,investment
Personal loan EMI Ref000466 Amt9821 INR,emi
Swiggy food delivery Ref000467 Amt18123 INR,food
Supermarket shopping bill Ref000468 Amt36037 INR,shopping
Bike loan installment Ref000469 Amt39250 INR,emi
Clothing store purchase Ref000470 Amt29834 INR,shopping
Supermarket shopping bill Ref000471 Amt28293 INR,shopping
Zomato order payment Ref000472 Amt43007 INR,food
Flipkart purchase Ref000473 Amt28285 INR,shopping
Stock market purchase Ref000474 Amt27219 INR,investment
Bike loan installment Ref000475 Amt26231 INR,emi
Mutual fund SIP investment Ref000476 Amt20583 INR,investment
Demat account funding Ref000477 Amt43688 INR,investment
Home loan EMI deduction Ref000478 Amt10103 INR,emi
Mutual fund SIP investment Ref000479 Amt6078 INR,investment
Zomato order payment Ref000480 Amt28403 INR,food
Restaurant bill payment Ref000481 Amt8627 INR,food
Amazon online shopping Ref000482 Amt38534 INR,shopping
Supermarket shopping bill Ref000483 Amt21703 INR,shopping
Cafe coffee purchase Ref000484 Amt23273 INR,food
Mutual fund SIP investment Ref000485 Amt18950 INR,investment
Clothing store purchase Ref000486 Amt23145 INR,shopping
Bakery item purchase Ref000487 Amt33353 INR,food
Ola cab booking Ref000488 Amt43139 INR,travel
Stock market purchase Ref000489 Amt7192 INR,investment
Personal loan EMI Ref000490 Amt24188 INR,emi
Restaurant bill payment Ref000491 Amt37724 INR,food
Flight ticket purchase Ref000492 Amt36863 INR,travel
Supermarket shopping bill Ref000493 Amt44335 INR,shopping
Amazon online shopping Ref000494 Amt40011 INR,shopping
Loan EMI auto debit Ref000495 Amt11923 INR,emi
Home loan EMI deduction Ref000496 Amt22370 INR,emi
Loan EMI auto debit Ref000497 Amt11988 INR,emi
Hotel stay payment Ref000498 Amt43179 INR,travel
Mutual fund SIP investment Ref000499 Amt9397 INR,investment
Zomato order payment Ref000500 Amt48997 INR,food
Flipkart purchase Ref000501 Amt24754 INR,shopping
Crypto investment transfer Ref000502 Amt22440 INR,investment
Train ticket booking IRCTC Ref000503 Amt20523 INR,travel
Personal loan EMI Ref000504 Amt39174 INR,emi
Zomato order payment Ref000505 Amt10296 INR,food
Hotel stay payment Ref000506 Amt3361 INR,travel
Restaurant bill payment Ref000507 Amt29139 INR,food
Crypto investment transfer Ref000508 Amt39885 INR,investment
Crypto investment transfer Ref000509 Amt18002 INR,investment
Hotel stay payment Ref000510 Amt7559 INR,travel
Bike loan installment Ref000511 Amt7367 INR,emi
Personal loan EMI Ref000512 Amt31991 INR,emi
Clothing store purchase Ref000513 Amt3076 INR,shopping
Flight ticket purchase Ref000514 Amt39377 INR,travel
Zomato order payment Ref000515 Amt13497 INR,food
Credit card EMI payment Ref000516 Amt9093 INR,emi
Home loan EMI deduction Ref000517 Amt21603 INR,emi
Zomato order payment Ref000518 Amt32696 INR,food
Stock market purchase Ref000519 Amt8566 INR,investment
PPF account contribution Ref000520 Amt46215 INR,investment
Hotel stay payment Ref000521 Amt36716 INR,travel
Loan EMI auto debit Ref000522 Amt26122 INR,emi
Cafe coffee purchase Ref000523 Amt1328 INR,food
Mutual fund SIP investment Ref000524 Amt20616 INR,investment
Electronics store payment Ref000525 Amt37678 INR,shopping
Crypto investment transfer Ref000526 Amt19073 INR,investment
Cafe coffee purchase Ref000527 Amt1466 INR,food
Credit card EMI payment Ref000528 Amt40609 INR,emi
Demat account funding Ref000529 Amt5875 INR,investment
